(401, 1)
(13245, 1)
(13641, 1)
(14023, 2)
(14179, 2)
(15932, 1)
(16206, 1)
(16549, 1)
(16170, 1)
(16241, 2)
(19705, 3)
(19713, 1)
(20200, 2)
(20544, 3)
(20991, 6)
(21107, 1)
(25888, 2)
(25942, 1)
(29155, 3)
(29369, 1)
(29470, 1)
(31683, 1)
(33897, 3)
(34085, 2)
(35552, 4)
(39774, 2)
(40088, 5)
(40110, 5)
(40215, 1)
(40224, 4)
(40236, 1)
(45927, 4)
(46217, 1)
(46627, 1)
(46963, 1)
(47462, 1)
(47842, 1)
(48366, 2)
(49068, 1)
(49134, 1)
(49161, 4)
(51766, 1)
(51802, 3)
(52130, 3)
(52709, 3)
(52903, 1)
(53104, 1)
(54988, 3)
(55008, 2)
(55602, 5)
(55629, 1)
(58282, 1)
(66579, 2)
(68727, 4)
(71852, 1)
(71911, 2)
(74201, 5)
(74410, 1)
(81358, 4)
(84023, 3)
(87023, 5)
(87069, 3)
(87800, 7)
(88251, 8)
(88951, 1)
(91439, 8)
(93016, 3)
(93091, 3)
(96316, 1)
(96636, 4)
(108792, 4)
(110660, 2)
(112471, 9)
(112569, 2)
(114604, 4)
(118807, 2)
(119052, 4)
(119068, 2)
(119955, 1)
(120144, 7)
(120792, 8)
(120815, 3)
(121652, 9)
(122472, 6)
(123356, 2)
(124139, 2)
(126623, 5)
(126647, 4)
(129096, 7)
(129157, 2)
(130485, 3)
(130593, 1)
(131228, 3)
(131431, 4)
(133283, 1)
(133522, 13)
(133694, 1)
(135552, 2)
(135567, 3)
(136171, 9)
(136757, 6)
(139688, 1)
(142184, 3)
(146664, 1)
(147512, 1)
(148577, 7)
(149650, 3)
(149704, 3)
(149809, 3)
(150496, 5)
(150686, 4)
(155989, 3)
(157571, 3)
(157600, 4)
(157624, 2)
(157694, 6)
(157821, 2)
(160299, 2)
(160319, 3)
(162004, 3)
(163175, 1)
(163254, 1)
(163339, 5)
(168103, 8)
(172795, 2)
(173221, 2)
(173289, 5)
(173488, 3)
(173649, 5)
(174933, 9)
(179921, 3)
(180908, 8)
(185975, 6)
(186217, 2)
(186986, 7)
(189665, 11)
(192068, 1)
(193269, 1)
(193285, 3)
(195539, 1)
(202160, 2)
(204555, 4)
(204572, 5)
(205381, 1)
(205424, 2)
(206312, 2)
(214097, 11)
(214379, 9)
(217538, 2)
(220209, 5)
(220970, 2)
(227763, 43)
(228076, 4)
(228298, 11)
(233732, 2)
(233754, 1)
(234602, 2)
(234621, 5)
(234694, 2)
(239221, 7)
(239644, 7)
(240499, 4)
(241246, 10)
(241398, 11)
(241461, 8)
(244420, 9)
(247437, 2)
(247478, 2)
(248263, 11)
(251402, 6)
(251432, 3)
(252878, 3)
(254481, 9)
(258143, 6)
(258487, 3)
(258863, 1)
(259323, 2)
(259423, 11)
(263816, 5)
(268944, 9)
(269259, 9)
(269467, 7)
(269761, 1)
(271362, 1)
(272499, 3)
(273820, 1)
(278387, 6)
(281252, 8)
(289741, 1)
(289930, 1)
(290616, 3)
(290647, 9)
(291380, 2)
(292785, 5)
(294229, 1)
(294262, 1)
(299114, 7)
(315272, 3)
(316420, 15)
(316489, 4)
(316575, 4)
(318032, 5)
(318052, 5)
(318142, 1)
(323282, 2)
(323412, 6)
(328386, 2)
(328870, 2)
(331331, 7)
(331597, 3)
(331660, 8)
(333440, 13)
(333557, 9)
(340051, 5)
(340429, 10)
(341909, 8)
(341968, 1)
(342129, 1)
(350472, 2)
(350909, 5)
(353398, 4)
(353549, 8)
(354151, 12)
(356793, 27)
(356988, 8)
(357151, 5)
(361609, 8)
(366413, 5)
(368136, 6)
(370729, 12)
(371345, 2)
(372365, 1)
(375090, 3)
(375151, 7)
(378174, 4)
(378778, 6)
(380966, 2)
(385088, 14)
(385749, 14)
(386414, 4)
(386435, 1)
(396955, 1)
(397394, 15)
(400991, 7)
(401067, 3)
(401259, 1)
(403434, 7)
(404020, 8)
(405202, 2)
(405228, 11)
(405324, 1)
(409686, 1)
(412628, 3)
(412703, 11)
(413882, 9)
(415393, 3)
(415797, 3)
(417122, 5)
(417765, 13)
(418615, 9)
(420891, 13)
(421617, 3)
(421800, 2)
(421834, 7)
(421906, 7)
(431035, 15)
(434400, 1)
(438871, 7)
(439455, 2)
(447893, 1)
(449119, 1)
(449308, 10)
(449449, 14)
(451582, 2)
(452182, 13)
(452235, 1)
(452707, 13)
(455654, 2)
(456745, 12)
(461632, 4)
(466331, 7)
(466376, 10)
(466420, 12)
(466697, 1)
(466989, 16)
(467066, 9)
(469454, 4)
(469770, 8)
(469859, 1)
(472684, 10)
(472843, 5)
(473318, 3)
(476318, 11)
(477175, 1)
(477975, 14)
(480032, 8)
(483794, 2)
(494514, 5)
(495776, 3)
(495960, 2)
(496706, 6)
